"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"jltwl","m",22.8383560180664,0,"jjux9",61.6958885192871,38.8575325012207,8,"x7fgu",58.6958885192871,35.8575325012207,8
"ircz1","f",86.7890396118164,3,NA,NA,NA,NA,NA,NA,NA,NA
"iilta","m",18.2821922302246,0,"jk2ol",48.5972595214844,30.3150691986084,8,"cwcl0",41.1150703430176,22.8328762054443,8
"zxq97","f",49.0684928894043,6.82000017166138,"ibcbz",69.5205459594727,20.452054977417,6,"iay1e",75.0500030517578,25.9815063476562,6
"diff3","f",25.6712322235107,1.63999998569489,NA,NA,NA,NA,NA,NA,NA,NA
"k77kd","f",39.6821899414062,4,NA,NA,NA,NA,"l2dw7",68.7013702392578,29.0191783905029,8
"fmq53","m",19.668493270874,0,"kbpme",51.6904106140137,32.0219192504883,9,"ehddk",39.0273971557617,19.3589038848877,4
"h3g22","f",29.1808223724365,0,"y39j1",58.6958885192871,29.5150680541992,5,"ahb5u",57.6931495666504,28.5123291015625,5
"jq61d","m",47.0986289978027,8.81999969482422,NA,NA,NA,NA,NA,NA,NA,NA
"k2hjd","m",32.6739730834961,NA,"w50it",78.6137008666992,45.9397277832031,1,"c3cdp",73.9424667358398,41.2684936523438,1
"oohac","m",32.7534255981445,0.819999992847443,NA,NA,NA,NA,NA,NA,NA,NA
"ahe8m","f",39.6821899414062,7.6399998664856,"r0ujd",61.5534248352051,21.8712329864502,8,"jcxlj",59.6958885192871,20.0136985778809,4
"es853","m",31.6767120361328,0.819999992847443,"hpzze",52.6767120361328,21,11,"zxq97",49.0684928894043,17.3917808532715,6
"tdnyl","m",17.5616436004639,0,"d07y8",38.024658203125,20.4630146026611,9,"azw88",48.312328338623,30.7506847381592,7
"ojb7a","f",35.6794509887695,5.82000017166138,"m9b4g",63.3506851196289,27.6712322235107,6,"hi4t0",55.9452056884766,20.2657527923584,6
"vnsnz","m",67.7013702392578,8,NA,NA,NA,NA,NA,NA,NA,NA
"wkvbx","m",76.7068481445312,7,NA,NA,NA,NA,NA,NA,NA,NA
"txpd3","m",29.6739730834961,0,NA,NA,NA,NA,"afq0a",41.7780838012695,12.1041097640991,3
"rkz8u","m",19.668493270874,0,"uzsw5",38.0273971557617,18.3589038848877,3,"f9fzz",31.0219173431396,11.3534250259399,3
"c4u0r","m",67.7013702392578,7,NA,NA,NA,NA,NA,NA,NA,NA
"gcyg2","m",31.687671661377,4.6399998664856,NA,NA,NA,NA,NA,NA,NA,NA
"hk7vg","m",32.0219192504883,5,"hzozr",55.0383567810059,23.0164375305176,3,"aprm6",65.5424652099609,33.5205497741699,3
"t6bd1","f",26.6739730834961,3.64000010490417,NA,NA,NA,NA,"wwce8",64.6986312866211,38.024658203125,3
"m6n61","f",48.687671661377,4,"f3ixh",72.04931640625,23.361644744873,7,"dit9p",72.9643859863281,24.2767124176025,6
"othqu","m",39.4767112731934,6.82000017166138,"j02o1",77.0400009155273,37.5632858276367,4,"dysgr",81.6958923339844,42.2191772460938,4
"j5i6t","m",29.76438331604,0,"hzozr",55.0383567810059,25.2739734649658,3,"aprm6",65.5424652099609,35.7780838012695,3
"q9wlg","f",21.668493270874,0,"v5viw",47.263011932373,25.5945205688477,7,"vi3sc",45.3397254943848,23.6712322235107,8
"tkj0o","f",74.7808227539062,4,NA,NA,NA,NA,NA,NA,NA,NA
"k07ai","m",50.6904106140137,10.6400003433228,NA,NA,NA,NA,NA,NA,NA,NA
"iswfc","f",19.668493270874,0.819999992847443,"h9k7e",48.687671661377,29.0191783905029,8,"w3g1l",40.6821899414062,21.0136985778809,5
