"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp"
"lnb1b",0,66.4700012207031,5,NA,NA,NA,NA,NA,NA,NA
"y46tv",1,29.3600006103516,3,"ghazc",63.7999992370605,NA,"hz8de",66.9000015258789,60,4
"k8hgj",1,38.5099983215332,3,NA,NA,NA,NA,NA,NA,NA
"uebx0",0,65.9599990844727,1,NA,NA,NA,NA,NA,NA,NA
"tfg6k",1,42.689998626709,4,"bvi0y",69.3899993896484,NA,"ismkm",66.4899978637695,NA,3
"zgu7g",0,28.1499996185303,1,"y30ub",60.0200004577637,NA,"ltxk1",57.7000007629395,NA,4
"dv094",0,72.7600021362305,2,NA,NA,NA,NA,NA,NA,NA
"ndhak",1,43.2700004577637,3,NA,NA,NA,NA,NA,NA,NA
"lyips",0,38.1399993896484,3,"d1g6j",61.1199989318848,NA,"sc4rb",64.5699996948242,NA,3
"x1ub3",1,58.5999984741211,2,NA,NA,NA,NA,NA,NA,NA
"laibi",0,50.2400016784668,2,NA,NA,NA,NA,NA,NA,NA
"lipyl",0,36.0200004577637,5,NA,NA,NA,NA,NA,NA,NA
"sxads",1,57.0400009155273,4,NA,NA,NA,NA,NA,NA,NA
"s2pte",0,88.6600036621094,4,NA,NA,NA,NA,NA,NA,NA
"kxi9j",1,51.8199996948242,1,NA,NA,NA,NA,NA,NA,NA
"rniqy",0,59.8899993896484,3,NA,NA,NA,NA,NA,NA,NA
"s8tld",1,61.2299995422363,3,NA,NA,NA,NA,NA,NA,NA
"amcml",1,61.9199981689453,4,NA,NA,NA,NA,NA,NA,NA
"zgjbo",0,39.0099983215332,4,"f34m2",68.1999969482422,NA,"ln1sy",64.6100006103516,NA,6
"ntvfx",0,43.1699981689453,4,NA,NA,NA,NA,NA,NA,NA
"h4tz0",1,67.2699966430664,2,NA,NA,NA,NA,NA,NA,NA
"j1ee3",0,43.060001373291,6,NA,NA,NA,NA,NA,NA,NA
"orpma",0,39.9000015258789,7,NA,NA,NA,NA,NA,NA,NA
"jo757",1,39.939998626709,3,"chi5v",81.620002746582,NA,"rhsxz",75.0699996948242,71,8
"kryf5",1,46.3600006103516,4,NA,NA,NA,NA,NA,NA,NA
